Zeit t / s;Spannung U_B1 / V;Stromstärke I_A1 / A;Leistungsfaktor cos&j_1;Stromstärke I_A2 / A;Spannung U_B2 / V;Leistungsfaktor cos&j_2;Wirkungsgrad &h;Leistung sekundär P_2 / W;Phase primär &j_1;Lastwiderstand R_L / &W;Wirkstrom primär I_1W / mA;Blindstrom primär I_1B / mA;Spannung U_B3 / V;Spannung U_A3 / V
0;40,1525217140842;0,199406538257902;-0,994886721953418;1,94654231908787;0,00404876524387374;0,99660987535173;-0,00098937422438135;0,00788109288725238;174,203410253914;0,00207997802265658;-198,386917183483;20,1394784052126;1,08289715578166;0,00184729532019112
0;39,9529097813914;0,186116939046396;-0,995190802637252;1,81405760658255;0,249225801232537;0,999802126716213;-0,0610946815599427;0,452109960482514;174,378552815098;0,137385825195511;-185,221865953972;18,2311648703245;1,08743965349807;0,00176351920885484
0;39,9939682952317;0,178265833798852;-0,995398998845245;1,73607812324215;0,361661789521647;0,999839743416614;-0,0884732699383225;0,62787312080114;174,501674356159;0,20832114907723;-177,44563249169;17,080837497734;1,09622078068243;0,00180831413200251
0;40,0239928043168;0,15408731291057;-0,995885969912854;1,4942567550458;0,879560401564327;0,999983777154697;-0,213990251502636;1,31428907150829;174,800993431463;0,588627355100943;-153,453393069209;13,9626700722655;1,12820654137441;0,00199374020373769
0;40,0001874995605;0,138363759706073;-0,99610605580325;1,33676680838507;1,23625482809977;0,999995963347179;-0,299760008508861;1,65258442090956;174,942061793351;0,924809637960175;-137,824978946925;12,1985727968305;1,14906483716107;0,00190853346839923
0;39,9975624257279;0,109062172635612;-0,996245935714945;1,04319796778943;1,89222091733497;0,999993153070203;-0,454217998012468;1,9739610155725;175,033797312629;1,81386560917545;-108,65274622847;9,44130483628721;1,18873882749744;0,00194036079119323
0;39,9306899514647;0,0766375234464162;-0,995457599425351;0,718753608686593;2,54696387881729;0,99999891890547;-0,600940925213993;1,83063947909433;174,536827956236;3,5435841267934;-76,2894051158735;7,29634614489536;1,23053850000721;0,00189604852258585
0;39,9807766307759;0,0493458964859288;-0,992117002666687;0,444638055051522;3,1131615762758;0,999999921735267;-0,707201428644764;1,3842301083364;172,801052133972;7,00156349846183;-48,9569029155203;6,18378176525674;1,26885775404495;0,00200935312974101
0;40,0011249841801;0,030163429844764;-0,981637114735303;0,2506930393928;3,50788397755684;0,999986245005462;-0,742478013340788;0,879402096171029;169,00298254843;13,9927458139773;-29,6095422433349;5,7539124202726;1,2961770712368;0,00196405193414024
0;40,0436636685506;0,0201274066883938;-0,959890071304018;0,147519490237731;3,71691404258963;0,999973072486982;-0,708743019036818;0,548317264820286;163,717315944827;25,1960878972652;-19,3200978412873;5,64325432734386;1,3110587324754;0,00189340962287615
0;39,9838092232343;0,0134849916573945;-0,910213260788488;0,0768667678519138;3,85228503618307;1;-0,603363489161288;0,296112699575685;155,534839240909;50,1163915673496;-12,2742182281826;5,58467249594362;1,31896739914222;0,00195064092031312
0;39,9528159207834;0,0112489999555516;-0,86880197971012;0,0519615242270663;3,89838428069886;1;-0,51878142534657;0,202565989247949;150,31971887648;75,0244404622032;-9,77315343114229;5,57005134728144;1,32189258262538;0,00191963538204525
0;40,0009374890139;0,010188964618645;-0,836547240142047;0,0392300904918661;3,92937017854007;1;-0,452117752398201;0,154149547680167;146,777292813705;100,162149239874;-8,52355023163245;5,58248076117046;1,32445271716283;0,00193390796058137
0;39,9776500059721;0,00910810078995616;-0,792018101824628;0,0262821232019028;3,94946831864746;1;-0,359930694312232;0,103800412932705;142,374508211909;150,272041885928;-7,21378069888847;5,56047372337503;1,32938594847396;0,0018907670401189
0;40,0211506581208;0,00843341567812236;-0,753394870175875;0,0176210101867061;3,97352173770322;0,999500595799075;-0,275353536512718;0,0700174670171665;138,885314037279;225,499088622114;-6,35369210995818;5,54554745465721;1,33175420029373;0,00179513230710162
0;40,0495318324697;0,00798389002930276;-0,72126422827911;0,0114236596587959;3,98616356914766;1;-0,19744856784058;0,0455365759582338;136,158956341162;348,939279373439;-5,75849428065033;5,53012148326937;1,33266199765732;0,00179234483289349
0;39,9293125410393;0,00773045923603508;-0,699699208000173;0,00793725393319377;3,98138480933456;1;-0,146317381382082;0,0316012622374487;134,402876395686;501,60733710236;-5,40899620493136;5,52293038658266;1,33026914569947;0,00179025137899682
0;39,9360426181664;0,00753889912387744;-0,681535564521076;0,00519615242270663;3,98306728539702;1;-0,100864430838453;0,0206966247248193;132,963754317297;766,541656474787;-5,13802787025925;5,51685323390419;1,32956195793953;0,00180831413200251
0;40,0034373523076;0,00740641613737711;-0,667927618162625;0,003;3,99441798013177;1;-0,0605535963030664;0,0119832539403953;131,907318176345;1331,47266004392;-4,94694988975952;5,51204923673658;1,33215455184449;0,00180069431053691
